date_day,brand,country_code,problem_type,spend,op_net_new,op_switcher
10/1/2025,juniper,GB,WEIGHT_LOSS,"229,350",222,270
10/2/2025,juniper,GB,WEIGHT_LOSS,"236,828",228,361
10/3/2025,juniper,GB,WEIGHT_LOSS,"238,560",199,415
10/4/2025,juniper,GB,WEIGHT_LOSS,"227,053",218,465
10/5/2025,juniper,GB,WEIGHT_LOSS,"243,982",213,473
10/6/2025,juniper,GB,WEIGHT_LOSS,"259,388",248,463
10/7/2025,juniper,GB,WEIGHT_LOSS,"245,862",278,415
10/8/2025,juniper,GB,WEIGHT_LOSS,"188,927",226,353
10/9/2025,juniper,GB,WEIGHT_LOSS,"177,576",196,293
10/10/2025,juniper,GB,WEIGHT_LOSS,"117,094",189,293
10/11/2025,juniper,GB,WEIGHT_LOSS,"113,861",253,261
10/12/2025,juniper,GB,WEIGHT_LOSS,"111,409",195,234
10/13/2025,juniper,GB,WEIGHT_LOSS,"129,399",170,248
10/14/2025,juniper,GB,WEIGHT_LOSS,"90,782",171,212
10/15/2025,juniper,GB,WEIGHT_LOSS,"54,495",191,256
10/16/2025,juniper,GB,WEIGHT_LOSS,"52,494",169,236
10/17/2025,juniper,GB,WEIGHT_LOSS,"41,724",190,215
10/18/2025,juniper,GB,WEIGHT_LOSS,"34,584",195,222
10/19/2025,juniper,GB,WEIGHT_LOSS,"42,752",178,259
10/20/2025,juniper,GB,WEIGHT_LOSS,"37,930",191,249
10/21/2025,juniper,GB,WEIGHT_LOSS,"25,652",170,223
10/22/2025,juniper,GB,WEIGHT_LOSS,"20,578",211,266
10/23/2025,juniper,GB,WEIGHT_LOSS,"18,683",190,255
10/24/2025,juniper,GB,WEIGHT_LOSS,"15,990",160,231
10/25/2025,juniper,GB,WEIGHT_LOSS,"14,524",175,212
10/26/2025,juniper,GB,WEIGHT_LOSS,"16,439",211,244
10/27/2025,juniper,GB,WEIGHT_LOSS,"18,709",181,257
10/28/2025,juniper,GB,WEIGHT_LOSS,"19,082",187,214
10/29/2025,juniper,GB,WEIGHT_LOSS,"18,916",211,303
10/30/2025,juniper,GB,WEIGHT_LOSS,"22,166",238,259
10/31/2025,juniper,GB,WEIGHT_LOSS,"27,520",164,214
11/1/2025,juniper,GB,WEIGHT_LOSS,"25,845",186,254
11/2/2025,juniper,GB,WEIGHT_LOSS,"27,106",289,252
11/3/2025,juniper,GB,WEIGHT_LOSS,"36,390",274,336
11/4/2025,juniper,GB,WEIGHT_LOSS,"44,680",191,234
11/5/2025,juniper,GB,WEIGHT_LOSS,"36,470",200,238
11/6/2025,juniper,GB,WEIGHT_LOSS,"31,042",149,201
11/7/2025,juniper,GB,WEIGHT_LOSS,"32,592",198,214
11/8/2025,juniper,GB,WEIGHT_LOSS,"36,481",209,221
11/9/2025,juniper,GB,WEIGHT_LOSS,"41,594",198,214
11/10/2025,juniper,GB,WEIGHT_LOSS,"39,987",226,207
11/11/2025,juniper,GB,WEIGHT_LOSS,"39,013",143,154
11/12/2025,juniper,GB,WEIGHT_LOSS,"34,734",156,167
11/13/2025,juniper,GB,WEIGHT_LOSS,"32,191",171,144
11/14/2025,juniper,GB,WEIGHT_LOSS,"33,053",135,124
11/15/2025,juniper,GB,WEIGHT_LOSS,"50,707",125,113
11/16/2025,juniper,GB,WEIGHT_LOSS,"67,569",136,89
11/17/2025,juniper,GB,WEIGHT_LOSS,"64,434",140,107
11/18/2025,juniper,GB,WEIGHT_LOSS,"67,152",131,126
11/19/2025,juniper,GB,WEIGHT_LOSS,"70,546",101,88
11/20/2025,juniper,GB,WEIGHT_LOSS,"66,265",87,86
11/21/2025,juniper,GB,WEIGHT_LOSS,"62,219",103,104
11/22/2025,juniper,GB,WEIGHT_LOSS,"60,652",106,85
11/23/2025,juniper,GB,WEIGHT_LOSS,"53,323",134,73
11/24/2025,juniper,GB,WEIGHT_LOSS,"49,522",107,105
11/25/2025,juniper,GB,WEIGHT_LOSS,"49,685",106,92
11/26/2025,juniper,GB,WEIGHT_LOSS,"58,292",120,107
11/27/2025,juniper,GB,WEIGHT_LOSS,"51,534",142,89
11/28/2025,juniper,GB,WEIGHT_LOSS,"50,755",126,93
11/29/2025,juniper,GB,WEIGHT_LOSS,"51,419",181,123
11/30/2025,juniper,GB,WEIGHT_LOSS,"63,789",134,111
12/1/2025,juniper,GB,WEIGHT_LOSS,"75,277",231,168
12/2/2025,juniper,GB,WEIGHT_LOSS,"94,153",201,150
12/3/2025,juniper,GB,WEIGHT_LOSS,"87,891",166,130
12/4/2025,juniper,GB,WEIGHT_LOSS,"81,859",148,128
12/5/2025,juniper,GB,WEIGHT_LOSS,"80,732",135,93
12/6/2025,juniper,GB,WEIGHT_LOSS,"78,579",155,100
12/7/2025,juniper,GB,WEIGHT_LOSS,"73,136",162,92
12/8/2025,juniper,GB,WEIGHT_LOSS,"80,289",106,78
12/9/2025,juniper,GB,WEIGHT_LOSS,"83,676",123,100
12/10/2025,juniper,GB,WEIGHT_LOSS,"78,456",147,82
12/11/2025,juniper,GB,WEIGHT_LOSS,"72,108",124,69
12/12/2025,juniper,GB,WEIGHT_LOSS,"71,514",111,74
12/13/2025,juniper,GB,WEIGHT_LOSS,"75,245",128,97
12/14/2025,juniper,GB,WEIGHT_LOSS,"83,412",113,62
12/15/2025,juniper,GB,WEIGHT_LOSS,"87,377",88,63
12/16/2025,juniper,GB,WEIGHT_LOSS,"101,520",155,70
12/17/2025,juniper,GB,WEIGHT_LOSS,"95,303",76,58
12/18/2025,juniper,GB,WEIGHT_LOSS,"108,510",113,75
12/19/2025,juniper,GB,WEIGHT_LOSS,"93,036",154,88
12/20/2025,juniper,GB,WEIGHT_LOSS,"89,343",92,75
12/21/2025,juniper,GB,WEIGHT_LOSS,"112,876",125,64
12/22/2025,juniper,GB,WEIGHT_LOSS,"99,947",105,70
12/23/2025,juniper,GB,WEIGHT_LOSS,"94,270",75,70
12/24/2025,juniper,GB,WEIGHT_LOSS,"75,441",104,61
12/25/2025,juniper,GB,WEIGHT_LOSS,"84,600",98,42
12/26/2025,juniper,GB,WEIGHT_LOSS,"84,332",189,78
12/27/2025,juniper,GB,WEIGHT_LOSS,"66,217",263,118
12/28/2025,juniper,GB,WEIGHT_LOSS,"74,749",233,81
12/29/2025,juniper,GB,WEIGHT_LOSS,"93,268",476,320
12/30/2025,juniper,GB,WEIGHT_LOSS,"72,853",575,383
12/31/2025,juniper,GB,WEIGHT_LOSS,"68,073",465,227
1/1/2026,juniper,GB,WEIGHT_LOSS,"74,451",417,196
1/2/2026,juniper,GB,WEIGHT_LOSS,"78,384",368,202
1/3/2026,juniper,GB,WEIGHT_LOSS,"79,197",546,332
1/4/2026,juniper,GB,WEIGHT_LOSS,"88,551",500,402
1/5/2026,juniper,GB,WEIGHT_LOSS,"92,710",499,251
1/6/2026,juniper,GB,WEIGHT_LOSS,"82,972",438,291
1/7/2026,juniper,GB,WEIGHT_LOSS,"81,948",355,206
1/8/2026,juniper,GB,WEIGHT_LOSS,"85,359",422,235
1/9/2026,juniper,GB,WEIGHT_LOSS,"80,141",436,342
1/10/2026,juniper,GB,WEIGHT_LOSS,"86,292",378,247
1/11/2026,juniper,GB,WEIGHT_LOSS,"97,012",356,196
1/12/2026,juniper,GB,WEIGHT_LOSS,"96,728",313,188
1/14/2026,juniper,GB,WEIGHT_LOSS,"111,242",287,188
1/13/2026,juniper,GB,WEIGHT_LOSS,"127,743",293,165
1/15/2026,juniper,GB,WEIGHT_LOSS,"109,999",326,188
1/16/2026,juniper,GB,WEIGHT_LOSS,"115,042",334,210
1/17/2026,juniper,GB,WEIGHT_LOSS,"118,868",323,183
1/18/2026,juniper,GB,WEIGHT_LOSS,"87,571",305,174
1/19/2026,juniper,GB,WEIGHT_LOSS,"90,775",277,155
1/20/2026,juniper,GB,WEIGHT_LOSS,"103,158",310,194
1/21/2026,juniper,GB,WEIGHT_LOSS,"128,508",291,181
1/22/2026,juniper,GB,WEIGHT_LOSS,"126,528",332,216
1/23/2026,juniper,GB,WEIGHT_LOSS,"111,162",365,206
1/24/2026,juniper,GB,WEIGHT_LOSS,"99,127",294,221
1/25/2026,juniper,GB,WEIGHT_LOSS,"108,355",319,182
1/26/2026,juniper,GB,WEIGHT_LOSS,"135,135",328,198
1/27/2026,juniper,GB,WEIGHT_LOSS,"132,134",283,183
1/28/2026,juniper,GB,WEIGHT_LOSS,"126,975",281,188
1/29/2026,juniper,GB,WEIGHT_LOSS,"98,285",297,178
1/30/2026,juniper,GB,WEIGHT_LOSS,"117,253",317,181
1/31/2026,juniper,GB,WEIGHT_LOSS,"115,878",377,221
2/1/2026,juniper,GB,WEIGHT_LOSS,"110,639",283,179
2/2/2026,juniper,GB,WEIGHT_LOSS,"113,272",224,178
2/3/2026,juniper,GB,WEIGHT_LOSS,"96,946",229,145
2/4/2026,juniper,GB,WEIGHT_LOSS,"84,470",163,133
2/5/2026,juniper,GB,WEIGHT_LOSS,"75,333",197,145
2/6/2026,juniper,GB,WEIGHT_LOSS,"82,852",212,138
2/7/2026,juniper,GB,WEIGHT_LOSS,"86,701",214,138
2/8/2026,juniper,GB,WEIGHT_LOSS,"115,477",259,166
2/9/2026,juniper,GB,WEIGHT_LOSS,"213,598",224,116
2/10/2026,juniper,GB,WEIGHT_LOSS,"133,466",208,140
2/11/2026,juniper,GB,WEIGHT_LOSS,"126,578",176,129
